index,x,y,z,xn,yn,zn,error
297,-13.494780,-23.500270,0.786345,-0.527654,-0.775408,0.346877,40.097142
298,-13.962763,-22.980320,0.414552,-0.542760,-0.762499,0.352148,39.578513
299,-14.815085,-22.507517,0.834918,-0.561780,-0.740392,0.369084,32.876242
300,-15.590523,-21.794171,0.569737,-0.585677,-0.709610,0.391709,74.451127
301,-16.271584,-21.205316,0.463525,-0.638940,-0.655184,0.403101,80.395501
302,-17.357205,-20.444844,0.384276,-0.692556,-0.579865,0.429095,41.945386
303,-17.647828,-19.860088,-0.194056,-0.711990,-0.566599,0.414772,32.645317
304,-18.338128,-19.094088,-0.131784,-0.767543,-0.566507,0.299913,15.550022
305,-19.034173,-18.206628,0.030993,-0.802507,-0.541989,0.249460,62.196219
306,-19.620611,-17.374214,-0.027293,-0.815333,-0.533014,0.226116,55.474951
307,-20.159853,-16.595260,-0.135132,-0.840475,-0.506818,0.191672,51.498375
308,-20.699464,-15.737898,-0.159634,-0.857044,-0.486748,0.168973,43.190254
309,-21.184569,-14.890848,-0.197624,-0.871339,-0.475712,0.120279,33.307064
310,-21.597222,-14.114254,-0.346231,-0.885208,-0.458951,0.075971,10.315304
311,-22.092378,-13.239631,-0.267826,-0.882288,-0.469884,-0.027879,34.898407
312,-22.587394,-12.352143,-0.315441,-0.887484,-0.459577,-0.034086,26.782219
313,-23.017012,-11.477819,-0.322469,-0.892448,-0.447932,-0.053785,19.341689
314,-23.370139,-10.703245,-0.355941,-0.897481,-0.432894,-0.084441,35.138023
315,-23.913622,-9.602108,-0.264699,-0.897212,-0.428401,-0.107159,23.426653
316,-24.326280,-8.733281,-0.224638,-0.898445,-0.422847,-0.118306,20.531647
317,-24.815591,-7.844336,-0.132982,-0.901318,-0.412712,-0.131506,47.982359
318,-25.204659,-6.991261,-0.127033,-0.903524,-0.402951,-0.145861,32.393641
319,-25.641360,-6.067203,-0.033353,-0.905077,-0.398131,-0.149421,20.411280
320,-26.111423,-5.145604,0.044377,-0.906989,-0.388170,-0.163387,29.764774
321,-26.573717,-4.316882,0.033750,-0.908110,-0.380306,-0.175226,28.503377
322,-26.954272,-3.385739,0.102076,-0.930177,-0.355859,-0.090191,17.531512
323,-27.305769,-2.481854,0.203041,-0.941156,-0.336791,-0.028246,23.117196
324,-27.703629,-1.511702,0.324884,-0.939833,-0.341630,0.001541,12.694016
