index,x,y,z,xn,yn,zn,error
946,13.826975,-23.127769,-5.785879,-0.466814,0.853239,0.232524,22.525282
947,12.982682,-23.510320,-5.458693,-0.442672,0.869169,0.220426,22.803915
948,12.138389,-23.892871,-5.131507,-0.472791,0.873803,0.113744,23.082548
949,11.294096,-24.275422,-4.804321,-0.492484,0.870230,0.012621,23.361180
950,10.449804,-24.657974,-4.477135,-0.509551,0.860348,-0.012598,23.639813
951,9.605511,-25.040525,-4.149949,-0.529644,0.837661,-0.133421,23.918446
952,9.346308,-25.992139,-4.508674,0.547919,-0.804519,0.229202,0.239186
953,8.752757,-26.434933,-3.258142,0.531445,-0.798147,0.283774,39.692125
954,7.786931,-26.705108,-3.447320,0.526096,-0.793242,0.306578,65.550748
955,6.965010,-26.936587,-2.834874,0.297691,-0.891195,-0.342274,24.127138
956,6.223098,-27.165730,-2.389128,0.428380,-0.893776,-0.132872,26.854947
957,4.332414,-28.081391,-2.636004,0.097591,-0.981932,0.162128,43.779704
958,3.750134,-27.747800,-1.997136,0.023367,0.974365,-0.223755,20.193105
959,3.437411,-27.058365,-0.115347,0.038852,-0.984198,0.172758,1.490818
960,2.779395,-26.769935,2.366108,0.278638,-0.960240,0.017330,35.069885
961,3.866392,-26.985930,0.830769,0.086138,-0.974561,0.206911,9.828154
962,5.127297,-27.585371,-2.188712,0.311906,-0.947791,0.066375,29.341737
963,5.250332,-28.035038,0.862238,-0.524412,-0.848720,-0.068308,4.318676
964,7.505814,-30.185984,-0.552255,-0.414720,0.851143,0.321813,23.955044
965,7.149615,-29.230218,-0.527675,-0.388685,0.843979,0.369626,11.692016
966,6.804430,-28.345149,-0.566040,-0.335933,0.833165,0.439300,10.944366
967,5.880564,-27.315447,-1.758811,0.373289,-0.927441,0.022537,16.699487
968,5.842336,-27.220078,-2.163302,0.429517,-0.902514,-0.031347,39.654563
969,7.301033,-26.417141,-2.142669,-0.258262,0.886133,0.384797,28.177842
970,8.028867,-26.296305,-2.134889,-0.266112,0.872156,0.410523,2.745241
971,8.570721,-26.146134,-2.762311,0.531445,-0.798147,0.283774,44.410387
972,9.409249,-25.744655,-2.735060,0.567791,-0.783138,0.253591,36.000535
973,10.247778,-25.343176,-2.707808,0.572218,-0.780700,0.251146,27.590683
974,11.086307,-24.941697,-2.680557,0.529580,-0.823884,0.201895,19.180832
988,22.805965,-17.578116,3.116215,0.896306,-0.391898,0.207489,10.026875
989,23.479891,-16.777522,3.258430,0.896306,-0.391898,0.207489,1.317267
990,23.833742,-16.108516,3.101478,0.896306,-0.391898,0.207489,55.611615
991,24.051288,-15.685864,2.448706,0.896306,-0.391898,0.207489,40.871956
992,23.205434,-14.404934,4.947653,0.904014,-0.370275,0.213671,57.661377
993,23.829617,-13.773427,4.872958,0.923411,-0.332094,0.192420,75.448563
994,24.178115,-13.069656,6.717896,0.922738,-0.330428,0.198422,30.837917
995,24.753702,-11.793882,6.370754,0.922684,-0.319798,0.215370,23.113503
996,24.264558,-11.079664,7.014901,0.923053,-0.316283,0.218949,24.941802
997,24.845623,-10.157289,7.365856,0.920495,-0.311178,0.236342,60.419221
998,25.111180,-9.337893,7.659842,0.915147,-0.314652,0.251991,58.221217
999,25.457601,-8.401599,8.005091,0.926351,-0.283267,0.248260,26.628187
1000,25.671250,-7.477398,8.370747,0.902671,-0.296416,0.311966,44.413904
1001,25.892156,-6.563611,8.730960,0.897686,-0.278134,0.341762,14.920362
1002,26.040722,-5.660241,9.091166,0.890657,-0.264075,0.370127,20.769224
1003,26.182973,-4.753833,9.418997,0.878500,-0.244361,0.410519,49.527402
1004,26.273077,-3.830199,9.743055,0.873741,-0.211316,0.438090,51.184271
1005,26.325530,-2.878721,10.127325,0.880209,-0.192316,0.433874,55.273863
1006,26.397139,-1.950858,10.407326,0.889674,-0.156777,0.428837,20.840450
1007,26.440561,-1.026892,10.733219,0.900830,-0.122423,0.416555,21.505361
1008,26.283906,-0.068040,10.984751,0.900883,-0.118088,0.417689,58.176462
1009,26.045094,0.877391,11.281059,-0.919932,0.053215,-0.388450,6.598419
1010,25.920941,1.860714,11.504991,-0.934353,0.014338,-0.356059,13.084426
1011,25.884870,2.829948,11.634186,0.948983,0.009394,0.315188,27.865204
1012,25.683808,3.811991,11.892779,-0.953974,-0.001293,-0.299887,36.401036
